"country","indicator","group","Unit","Date","Value"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2010","65170629.4463297"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2011","67256089.5886121"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2012","69105775.3081565"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2013","71105800"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2014Q1","71641170.8767602"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2014Q2","72037644.8652174"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2014Q3","72545834"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2014Q4","72931608.2374519"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2015Q1","73436104.3829999"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2015Q2","74010602.1410911"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2015Q3","75940402"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2015Q4","76957923"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2016Q1","78486570.0000001"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2016Q2","79886310"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2016Q3","80669195.838"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2016Q4","81151885"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2017Q1","82592121.2192778"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2017Q2","83940087.9111778"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2017Q3","85088054.6030778"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2017Q4","86537538.2371821"
"Nigeria","LABOUR FORCE POPULATION (employment age and decided to work)","All Groups","Persons","2018Q1","88206724.237182"
